Name,Size / Usage,Context,Input,Digest,Updated,source,size_gb
qwen:0.5b-chat-v1.5-q3_K_L,364MB,32K,Text,d184d2901228,2 years ago,qwen\qwen.csv,0.35546875
granite4:350m-h-q8_0,366MB,1M,Text,7145075ed3d6,10 months ago,ibm\granite4.csv,0.357421875
granite4:350m-h,366MB,1M,Text,7145075ed3d6,10 months ago,ibm\granite4.csv,0.357421875
granite4:350m-h-base-q8_0,366MB,1M,Text,fc639b9e4edb,10 months ago,ibm\granite4.csv,0.357421875
qwen2.5-coder:0.5b-instruct-q3_K_L,369MB,32K,Text,421e449ec2a2,1 year ago,qwen\qwen2.5-coder.csv,0.3603515625
qwen2:0.5b-instruct-q3_K_L,369MB,32K,Text,425aee1fa207,2 years ago,qwen\qwen2.csv,0.3603515625
qwen2.5:0.5b-base-q3_K_L,369MB,32K,Text,59bf60d67517,1 year ago,qwen\qwen2.5.csv,0.3603515625
qwen2.5-coder:0.5b-base-q3_K_L,369MB,32K,Text,4a05a175ece5,1 year ago,qwen\qwen2.5-coder.csv,0.3603515625
qwen2.5:0.5b-instruct-q3_K_L,369MB,32K,Text,2ea07e2fd539,1 year ago,qwen\qwen2.5.csv,0.3603515625
qwen2.5-coder:0.5b-instruct-q4_1,375MB,32K,Text,1a07144b5855,1 year ago,qwen\qwen2.5-coder.csv,0.3662109375
qwen2.5:0.5b-base-q4_1,375MB,32K,Text,50cc344abeb2,1 year ago,qwen\qwen2.5.csv,0.3662109375
qwen2:0.5b-instruct-q4_1,375MB,32K,Text,a1a9a139f5f4,2 years ago,qwen\qwen2.csv,0.3662109375
qwen2.5:0.5b-instruct-q4_1,375MB,32K,Text,61378941e31f,1 year ago,qwen\qwen2.5.csv,0.3662109375
qwen2.5-coder:0.5b-base-q4_1,375MB,32K,Text,27c4e36f2bf1,1 year ago,qwen\qwen2.5-coder.csv,0.3662109375
granite4:350m-base-q8_0,378MB,32K,Text,c2242b8fc00c,10 months ago,ibm\granite4.csv,0.369140625
granite4:350m-q8_0,378MB,32K,Text,ab70622bfd6d,10 months ago,ibm\granite4.csv,0.369140625
qwen2.5-coder:0.5b-instruct-q4_K_S,385MB,32K,Text,3260403e0ead,1 year ago,qwen\qwen2.5-coder.csv,0.3759765625
qwen2:0.5b-instruct-q4_K_S,385MB,32K,Text,f6898a38eeae,2 years ago,qwen\qwen2.csv,0.3759765625
qwen2.5:0.5b-base-q4_K_S,385MB,32K,Text,75db83387279,1 year ago,qwen\qwen2.5.csv,0.3759765625
qwen2.5-coder:0.5b-base-q4_K_S,385MB,32K,Text,fb9f36e97c1a,1 year ago,qwen\qwen2.5-coder.csv,0.3759765625
qwen2.5:0.5b-instruct-q4_K_S,385MB,32K,Text,6f4611e3bd35,1 year ago,qwen\qwen2.5.csv,0.3759765625
qwen:0.5b,395MB,32K,Text,b5dc5e784f2a,2 years ago,qwen\qwen.csv,0.3857421875
qwen:0.5b-chat,395MB,32K,Text,b5dc5e784f2a,2 years ago,qwen\qwen.csv,0.3857421875
qwen:0.5b-text,395MB,32K,Text,f92ac32068ca,2 years ago,qwen\qwen.csv,0.3857421875
qwen:0.5b-text-v1.5-q4_0,395MB,32K,Text,f92ac32068ca,2 years ago,qwen\qwen.csv,0.3857421875
qwen:0.5b-chat-v1.5-q4_0,395MB,32K,Text,b5dc5e784f2a,2 years ago,qwen\qwen.csv,0.3857421875
qwen2.5-coder:0.5b-instruct-q5_0,397MB,32K,Text,3f95976d5c24,1 year ago,qwen\qwen2.5-coder.csv,0.3876953125
qwen2.5:0.5b-instruct-q5_0,397MB,32K,Text,4a8f6fc82b6e,1 year ago,qwen\qwen2.5.csv,0.3876953125
qwen2:0.5b-instruct-q5_0,397MB,32K,Text,b17625f38956,2 years ago,qwen\qwen2.csv,0.3876953125
qwen:0.5b-chat-v1.5-q4_K_S,397MB,32K,Text,5d85925638c3,2 years ago,qwen\qwen.csv,0.3876953125
qwen2.5-coder:0.5b-base-q5_0,397MB,32K,Text,d913cffe15a5,1 year ago,qwen\qwen2.5-coder.csv,0.3876953125
qwen2.5:0.5b-base-q5_0,397MB,32K,Text,a30fbb649ad5,1 year ago,qwen\qwen2.5.csv,0.3876953125
qwen:0.5b-text-v1.5-q4_K_S,397MB,32K,Text,b0702a4235ed,2 years ago,qwen\qwen.csv,0.3876953125
qwen2.5-coder:0.5b-instruct-q4_K_M,398MB,32K,Text,4ff64a7f502a,1 year ago,qwen\qwen2.5-coder.csv,0.388671875
qwen2.5-coder:0.5b,398MB,32K,Text,4ff64a7f502a,1 year ago,qwen\qwen2.5-coder.csv,0.388671875
qwen2.5:0.5b-instruct,398MB,32K,Text,a8b0c5157701,1 year ago,qwen\qwen2.5.csv,0.388671875
qwen2.5:0.5b-instruct-q4_K_M,398MB,32K,Text,a8b0c5157701,1 year ago,qwen\qwen2.5.csv,0.388671875
qwen2.5:0.5b,398MB,32K,Text,a8b0c5157701,1 year ago,qwen\qwen2.5.csv,0.388671875
qwen2:0.5b-instruct-q4_K_M,398MB,32K,Text,19d15f48d098,2 years ago,qwen\qwen2.csv,0.388671875
qwen2.5-coder:0.5b-base-q4_K_M,398MB,32K,Text,a5e657de26cb,1 year ago,qwen\qwen2.5-coder.csv,0.388671875
qwen2.5:0.5b-base,398MB,32K,Text,24c564a74dea,1 year ago,qwen\qwen2.5.csv,0.388671875
qwen2.5:0.5b-base-q4_K_M,398MB,32K,Text,24c564a74dea,1 year ago,qwen\qwen2.5.csv,0.388671875
qwen2.5-coder:0.5b-instruct,398MB,32K,Text,4ff64a7f502a,1 year ago,qwen\qwen2.5-coder.csv,0.388671875
qwen:0.5b-chat-v1.5-q4_K_M,407MB,32K,Text,e1c9c6192a7e,2 years ago,qwen\qwen.csv,0.3974609375
qwen:0.5b-text-v1.5-q4_K_M,407MB,32K,Text,d8d0c86b10cd,2 years ago,qwen\qwen.csv,0.3974609375
qwen2.5:0.5b-base-q5_K_S,413MB,32K,Text,2484afe4f04e,1 year ago,qwen\qwen2.5.csv,0.4033203125
qwen2.5-coder:0.5b-base-q5_K_S,413MB,32K,Text,8a75bd23fad4,1 year ago,qwen\qwen2.5-coder.csv,0.4033203125
qwen2:0.5b-instruct-q5_K_S,413MB,32K,Text,dfba5ca4486a,2 years ago,qwen\qwen2.csv,0.4033203125
qwen2.5:0.5b-instruct-q5_K_S,413MB,32K,Text,5830fc2c0193,1 year ago,qwen\qwen2.5.csv,0.4033203125
qwen2.5-coder:0.5b-instruct-q5_K_S,413MB,32K,Text,6fcf5fa0efeb,1 year ago,qwen\qwen2.5-coder.csv,0.4033203125
qwen2.5-coder:0.5b-instruct-q5_1,419MB,32K,Text,fecbd9bca6f9,1 year ago,qwen\qwen2.5-coder.csv,0.4091796875
qwen2:0.5b-instruct-q5_1,419MB,32K,Text,76769ded76b2,2 years ago,qwen\qwen2.csv,0.4091796875
qwen2.5:0.5b-instruct-q5_1,419MB,32K,Text,95b03700b65c,1 year ago,qwen\qwen2.5.csv,0.4091796875
qwen2.5-coder:0.5b-base-q5_1,419MB,32K,Text,90fb0d5bbe28,1 year ago,qwen\qwen2.5-coder.csv,0.4091796875
qwen2.5:0.5b-base-q5_1,419MB,32K,Text,c3e31c5b32da,1 year ago,qwen\qwen2.5.csv,0.4091796875
qwen2.5-coder:0.5b-instruct-q5_K_M,420MB,32K,Text,415eac8f1777,1 year ago,qwen\qwen2.5-coder.csv,0.41015625
qwen2:0.5b-instruct-q5_K_M,420MB,32K,Text,d9515b0adb44,2 years ago,qwen\qwen2.csv,0.41015625
qwen2.5:0.5b-instruct-q5_K_M,420MB,32K,Text,0762ec590a8c,1 year ago,qwen\qwen2.5.csv,0.41015625
qwen2.5-coder:0.5b-base-q5_K_M,420MB,32K,Text,057639c6959e,1 year ago,qwen\qwen2.5-coder.csv,0.41015625
qwen:0.5b-text-v1.5-q4_1,424MB,32K,Text,8634f265be16,2 years ago,qwen\qwen.csv,0.4140625
qwen:0.5b-chat-v1.5-q4_1,424MB,32K,Text,1bf15c40f38e,2 years ago,qwen\qwen.csv,0.4140625
qwen:0.5b-text-v1.5-q5_0,453MB,32K,Text,3822065b797a,2 years ago,qwen\qwen.csv,0.4423828125
qwen:0.5b-chat-v1.5-q5_K_S,453MB,32K,Text,1cf5f7bb58c9,2 years ago,qwen\qwen.csv,0.4423828125
qwen:0.5b-text-v1.5-q5_K_S,453MB,32K,Text,4ea8ddc7c860,2 years ago,qwen\qwen.csv,0.4423828125
qwen:0.5b-chat-v1.5-q5_0,453MB,32K,Text,60ea3fa139a6,2 years ago,qwen\qwen.csv,0.4423828125
qwen:0.5b-chat-v1.5-q5_K_M,459MB,32K,Text,743996dfe09d,2 years ago,qwen\qwen.csv,0.4482421875
qwen:0.5b-text-v1.5-q5_K_M,459MB,32K,Text,dcedf0beaf7e,2 years ago,qwen\qwen.csv,0.4482421875
qwen:0.5b-chat-v1.5-q5_1,482MB,32K,Text,a60a006869f5,2 years ago,qwen\qwen.csv,0.470703125
qwen:0.5b-text-v1.5-q5_1,482MB,32K,Text,9f7ae5e6520b,2 years ago,qwen\qwen.csv,0.470703125
qwen2.5-coder:0.5b-base-q6_K,506MB,32K,Text,d71ccdf96af9,1 year ago,qwen\qwen2.5-coder.csv,0.494140625
qwen2:0.5b-instruct-q6_K,506MB,32K,Text,8e5bba81c7b5,2 years ago,qwen\qwen2.csv,0.494140625
qwen2.5:0.5b-instruct-q6_K,506MB,32K,Text,ac75f8387539,1 year ago,qwen\qwen2.5.csv,0.494140625
qwen2.5-coder:0.5b-instruct-q6_K,506MB,32K,Text,ec7f86cd81f6,1 year ago,qwen\qwen2.5-coder.csv,0.494140625
granite3.1-moe:1b-instruct-q2_K,512MB,128K,Text,6c48d7af9884,1 year ago,ibm\granite3.1-moe.csv,0.5
granite3-moe:1b-instruct-q2_K,512MB,4K,Text,a81a27cb71de,1 year ago,ibm\granite3-moe.csv,0.5
granite3.1-moe:1b-base-q2_K,512MB,128K,Text,4f5ae9bf84b7,1 year ago,ibm\granite3.1-moe.csv,0.5
granite3-moe:1b-instruct-q2_K,512MB,4K,Text,5965f707577c,1 year ago,granite\granite3-moe.csv,0.5
qwen:0.5b-text-v1.5-q6_K,515MB,32K,Text,c8c2e4f579df,2 years ago,qwen\qwen.csv,0.5029296875
qwen:0.5b-chat-v1.5-q6_K,515MB,32K,Text,0d79ae8737db,2 years ago,qwen\qwen.csv,0.5029296875
granite-docling:latest,522MB,8K,"Text, Image",c807e8d2c7e5,10 months ago,ibm\granite-docling.csv,0.509765625
granite-docling:258m-bf16,522MB,8K,"Text, Image",c4bb6f55fc69,10 months ago,ibm\granite-docling.csv,0.509765625
granite-docling:258m,522MB,8K,"Text, Image",c4bb6f55fc69,10 months ago,ibm\granite-docling.csv,0.509765625
qwen3:0.6b,523MB,40K,Text,7df6b6e09427,1 year ago,qwen\qwen3.csv,0.5107421875
qwen3:0.6b-q4_K_M,523MB,40K,Text,7df6b6e09427,1 year ago,qwen\qwen3.csv,0.5107421875
granite3.1-moe:1b-instruct-q2_K,524MB,128K,Text,6521a8fa2f7d,1 year ago,granite\granite3.1-moe.csv,0.51171875
granite3-moe:1b-base-q2_K,529MB,4K,Text,3bde6fd68cd9,1 year ago,ibm\granite3-moe.csv,0.5166015625
qwen2.5-coder:0.5b-instruct-q8_0,531MB,32K,Text,4270293369d4,1 year ago,qwen\qwen2.5-coder.csv,0.5185546875
qwen2.5-coder:0.5b-base-q8_0,531MB,32K,Text,a0a84cca0f91,1 year ago,qwen\qwen2.5-coder.csv,0.5185546875
qwen2.5:0.5b-instruct-q8_0,531MB,32K,Text,84d044692a2c,1 year ago,qwen\qwen2.5.csv,0.5185546875
qwen2.5-coder:0.5b-base,531MB,32K,Text,a0a84cca0f91,1 year ago,qwen\qwen2.5-coder.csv,0.5185546875
qwen2.5:0.5b-base-q8_0,531MB,32K,Text,db0459695543,1 year ago,qwen\qwen2.5.csv,0.5185546875
qwen2:0.5b-instruct-q8_0,531MB,32K,Text,6b8eef84f0bf,2 years ago,qwen\qwen2.csv,0.5185546875
gemma3:270m-it-fp16,543MB,32K,Text,a44af03dd6b3,1 year ago,gemma\gemma3.csv,0.5302734375
gemma3:270m-it-bf16,543MB,32K,Text,dc598b095ea6,1 year ago,gemma\gemma3.csv,0.5302734375
functiongemma:270m-it-fp16,552MB,32K,Text,ce6e8a1097cd,8 months ago,gemma\functiongemma.csv,0.5390625
granite-embedding:278m,563MB,512,Text,5125e69d1c0f,1 year ago,ibm\granite-embedding.csv,0.5498046875
granite-embedding:278m-multilingual-f16,563MB,512,Text,5125e69d1c0f,1 year ago,ibm\granite-embedding.csv,0.5498046875
granite-embedding:278m,563MB,512,Text,1a37926bf842,1 year ago,granite\granite-embedding.csv,0.5498046875
granite-embedding:278m-fp16,563MB,512,Text,1a37926bf842,1 year ago,granite\granite-embedding.csv,0.5498046875
llama3.2:1b-text-q2_K,581MB,128K,Text,1e2a8fc966e5,1 year ago,llama\llama3.2.csv,0.5673828125
llama3.2:1b-instruct-q2_K,581MB,128K,Text,3718017cfd4e,1 year ago,llama\llama3.2.csv,0.5673828125
granite4:1b-h-base-q2_K,589MB,1M,Text,85298a97e1a8,10 months ago,ibm\granite4.csv,0.5751953125
granite4:1b-h-q2_K,589MB,1M,Text,10881bb567b9,10 months ago,ibm\granite4.csv,0.5751953125
granite3.1-moe:1b-base-q3_K_S,598MB,128K,Text,008c5eeae403,1 year ago,ibm\granite3.1-moe.csv,0.583984375
granite3-moe:1b-instruct-q3_K_S,598MB,4K,Text,cab9e1d32d19,1 year ago,granite\granite3-moe.csv,0.583984375
granite3-moe:1b-instruct-q3_K_S,598MB,4K,Text,a8a44fdf4a25,1 year ago,ibm\granite3-moe.csv,0.583984375
granite3.1-moe:1b-instruct-q3_K_S,598MB,128K,Text,74178e358028,1 year ago,ibm\granite3.1-moe.csv,0.583984375
granite3.1-moe:1b-instruct-q3_K_S,610MB,128K,Text,c81277fe1196,1 year ago,granite\granite3.1-moe.csv,0.595703125
granite3-moe:1b-base-q3_K_S,619MB,4K,Text,cd0c15ff751e,1 year ago,ibm\granite3-moe.csv,0.6044921875
embeddinggemma:latest,622MB,2K,Text,85462619ee72,12 months ago,gemma\embeddinggemma.csv,0.607421875
embeddinggemma:300m-bf16,622MB,2K,Text,85462619ee72,12 months ago,gemma\embeddinggemma.csv,0.607421875
embeddinggemma:300m,622MB,2K,Text,85462619ee72,12 months ago,gemma\embeddinggemma.csv,0.607421875
deepseek-coder:1.3b-instruct-q2_K,632MB,16K,Text,1ad28239dd09,2 years ago,deepseek\deepseek-coder.csv,0.6171875
deepseek-coder:1.3b-base-q2_K,632MB,16K,Text,b4f8c7285df8,2 years ago,deepseek\deepseek-coder.csv,0.6171875
